Assets,Note,2023,2022
in euro thousand,nan,nan,nan
Receivables from BMW Group companies,[9],"17,099,629","18,107,757"
Derivative assets,[18],"485,746","814,400"
Non-current assets,nan,"17,585,375","18,922,157"
Receivables from BMW Group companies,[9],"24,066,650","23,731,120"
Derivative assets,[18],"422,477","500,386"
Other receivables,[10],"204,513","65,155"
Deffered tax asset,[17],–,829
Cash and cash equivalents,[11],755,"1,041"
Current assets,nan,"24,694,395","24,298,531"
Total assets,nan,"42,279,770","43,220,688"
Equity and liabilities,Note,2023,2022
in euro thousand,nan,nan,nan
Issued capital,[12],"1,750","1,750"
Share premium reserve,[12],"55,488","55,488"
Cost of hedging reserve,[12],"2,917",(87)
Retained earnings,[12],"651,165","247,222"
Undistributed (loss)/income for the year,[12],"(394,288)","403,943"
Equity,nan,"317,032","708,316"
Debt securities,[13],"15,836,775","15,839,913"
Loans due to banks,[14],"1,130,167","1,230,819"
Liabilities due to BMW Group companies,[15],–,"25,000"
Derivative liabilities,[18],"1,509,861","2,070,167"
Deferred Tax Liability,[17],"14,328",798
Non-current liabilities,nan,"18,491,131","19,166,697"
Debt securities,[13],"7,214,445","8,486,997 *"
Loans due to banks,[14],"175,221","453,681 *"
Liabilities due to BMW Group companies,[15],"15,631,113","14,086,869"
Derivative liabilities,[18],"449,478","316,692"
Other liabilities,nan,"1,350","1,436 *"
Current liabilities,nan,"23,471,607","23,345,675"
Total equity and liabilities,nan,"42,279,770","43,220,688"
