10 Financial statements,securities oustanding by the Company as per year,Unnamed: 0,Unnamed: 1
10 Income Statement and Statement,nan,nan,nan
of comprehensive income for the,end 2023 comprise:,nan,nan
year ended 31 December 2023,nan,nan,nan
11 Balance Sheet at 31 December,Interest Currency Issue volume in,Weighted average,Weighted average
2023,thousands,maturity period (in years),interest rate (in %)
12 Cash Flow Statement for the year,nan,nan,nan
3.8 13 ended 31 December 2023 Statement of Changes in Equity,"Variable EUR 1,000,000",1.7,nan
14 Notes to the Financial Statements,"Fixed AUD 273,000",10.0,3.2
15 1. Significant accounting policies,nan,nan,nan
19 2. Interest income and expense,"Panda Bond CNY 9,500,000",3.0,3.0
20 3. Other financial income and,nan,nan,nan
expenses,"Fixed EUR 19,000,000",7.4,4.1
20 4. Reversal of impairment / (impair-,"Fixed HKD 1,224,000",6.6,2.9
ment loss) on financial,nan,nan,nan
receivables,"Fixed USD 1,000,000",7.5,2.6
20 5. Result from financial,nan,nan,nan
transactions,nan,nan,nan
21 6. Miscellaneous income &,nan,nan,nan
expenses,nan,nan,nan
22 7. Taxes,nan,nan,nan
22 8. Remuneration of Board of,The Bonds under the EMTN Program and other,nan,nan
Directors,securities outstanding by the Company as per year,nan,nan
23 9. Receivables from BMW Group,nan,nan,nan
companies,end 2022 comprise:,nan,nan
24 10. Other receivables,nan,nan,nan
24 11. Cash and cash equivalents,Interest Currency Issue volume in,Weighted average,Weighted average
24 12. .Equity,thousands,maturity period (in years),interest rate (in %)
25 13. Debt securities,nan,nan,nan
27 14. Loans due to banks,"Variable EUR 500,000",3.0,1.8
27 15. Liabilities due to BMW Group,nan,nan,nan
companies,"Variable NOK 1,230,000",3.0,5.3
28 16. Movement schedule liabilities,nan,nan,nan
28 17. Deferred tax liability,"Variable SEK 1,500,000",4.0,3.2
28 18. Financial instruments,nan,nan,nan
34 19. Risk management,"Fixed AUD 273,000",10.0,3.2
40 20. Related parties,"Panda Bond CNY 13,500,000",3.0,3.0
41 21. Subsequent events,nan,nan,nan
42 Other information,"Fixed EUR 20,650,000",7.1,0.8
42 Independent auditor’s report,nan,nan,nan
42 Statutory rules as to appropriation,"Fixed HKD 1,224,000",6.6,2.9
of result,"Fixed JPY 13,400,000",5.6,0.6
44 Declaration by the Supervisory,nan,nan,nan
Board,"Fixed NOK 750,000",4.0,2.3
45 Independent auditor’s report,"Fixed USD 1,000,000",7.5,2.6
