in euro thousand,Notional Fair value,Notional,Fair value
nan,amount amount,amount,amount
nan,2023 2023,2022,2022
Assets,nan,nan,nan
Combined derivatives (IRS and FX),"1,437,370 109,780","3,138,576 *","180,124 *"
Foreign currency derivatives,"986,254 81,675","2,035,180 *","75,560 *"
"Interest rate derivatives 11,231,902","294,291","14,694,969 *","558,716 *"
"Non-current assets 13,655,526","485,746","19,868,725","814,400"
Combined derivatives (IRS and FX),"1,408,141 93,228","1,092,622 *","61,874 *"
Foreign currency derivatives,"5,297,592 139,131","9,971,367 *","281,023 *"
"Interest rate derivatives 10,543,946","190,118","8,779,711 *","157,489 *"
"Current assets 17,249,679","422,477","19,843,700","500,386"
"Total assets 30,905,205","908,223","39,712,423","1,314,786"
* Adjusted prior year calculation error,nan,nan,nan
Liabilities,nan,nan,nan
Combined derivatives (IRS and FX),"3,166,243 248,721","3,111,381 *","179,619 *"
Foreign currency derivatives,"1,424,081 47,948","1,058,784 *","34,297 *"
"Interest rate derivatives 23,693,293","1,213,192","20,903,683 *","1,856,251 *"
"Non-current liabilities 28,283,617","1,509,861","25,073,848","2,070,167"
Combined derivatives (IRS and FX),"2,508,522 164,965","1,336,220 *","100,555 *"
Foreign currency derivatives,"7,741,243 114,824","2,400,263 *","88,101 *"
Interest rate derivatives,"9,280,834 169,689","8,793,342 *","128,036 *"
"Current liabilities 19,530,599","449,478","12,529,825","316,692"
"Total liabilities 47,814,216","1,959,339","37,603,673","2,386,859"
* Adjusted prior year calculation error,nan,nan,nan
The fair values in the financial asset and liability cate-,The following table shows the fair values and car-,nan,nan
"gories approximate their carrying values, except for",rying amounts of financial assets and liabilities that,nan,nan
"the BMW Group receivables with a fixed interest rate,",are measured at cost or amortised cost and where,nan,nan
non-current debt securities and other (intercompany),carrying amounts differ from their fair value. For some,nan,nan
payables with a fixed interest rate. The fair values,"balance sheet items, fair value corresponds to the",nan,nan
shown are computed using market information avail-,carrying amount due to their short maturity.,nan,nan
able at the balance sheet date.,nan,nan,nan
31 December 2023:,nan,nan,nan
in euro thousand,Note Fair value,Carrying,Difference
nan,nan,value,nan
BMW Group receivables (level 2),"[9] 41,429,072","41,163,383","265,689"
BMW Group liabilities (level 2),"[15] 15,636,174","15,631,115","5,059"
Non-current debt securities (level 2),"[13] 16,257,064","15,836,775","420,289"
Loans due to banks (level 2),"[14] 1,403,699","1,305,388","98,311"
BMW Group receivables are valued at amortised,the BMW Group receivables are valued according to,nan,nan
cost. The underlying changes to the fair value of,level 2 methodologies.,nan,nan
these assets are therefore not recognised in the,For the current debt,"securities,",the fair value
balance sheet. The Company does not apply hedge,approximates the carrying value. The change of fair,nan,nan
accounting to loans in the intercompany receivables,value of the loans due to banks are valued according,nan,nan
