in euro thousand,Note,2023,2022
Net income/(loss) for the year,nan,"(394,288)","403,943"
Adjustments for non-cash items,nan,nan,nan
Fair value measurement losses/gains derivatives,nan,"(106,768)","1,580,318"
Fair value measurement losses debt securities,nan,"669,784","(1,702,472)"
Amortisation financial instruments,nan,"(13,106)","12,496"
Loss/ (gain) on revaluation of financial instruments,nan,"4,049","(2,833)"
Change in impairment allowance,[4],"3,313",96
Taxes,[7],"(112,674)","146,657"
Defered tax,nan,"13,314",–
Interest income,[2],"(1,965,292)","(988,331)"
Interest expense,[2],"1,939,115","961,574"
Changes in operating assets and liabilities,nan,nan,nan
Receivables from BMW Group companies,[9],"1,056,568","(1,554,602)"
Receivables and other assets,nan,"(139,358)","(65,154)"
Derivatives,nan,"85,811","(298,024)"
Liabilities to BMW Group companies,[15],"54,687","140,828"
Other liabilities,nan,(86),"1,036"
Interest received,nan,"1,806,216","847,518"
Interest paid,nan,"(1,913,196)","(971,345)"
Tax paid,nan,"(35,092)",(391)
Cash flow from operating activities,nan,"952,997","(1,488,686)"
Cash flow from investing activities,nan,–,–
Proceeds from the issuance of Debt securities,nan,"19,944,666","13,740,846"
Repayment Debt securities,nan,"(21,907,186)","(18,960,174)"
Proceeds from the issuance of the Liabilities to BMW Group companies,nan,"168,954,388","90,221,593"
Repayment Liabilities to BMW Group companies,nan,"(167,496,503)","(82,697,238)"
Proceeds from Loan due to banks,nan,"100,000",–
Repayment Loans due to banks,nan,"(548,648)","(821,536)"
Cash flow from financing activities,nan,"(953,283)","1,483,491"
Net decrease in cash and cash equivalents,nan,(286),"(5,195)"
Cash and cash equivalents at January 1,nan,"1,041","6,236"
Cash and cash equivalents at December 31,[11],755,"1,041"
