in euro thousand Maturity within,Maturity between,Maturity later,Total
one year,one and five years,than five years,nan
"2023 15,631,113",nan,– –,"15,631,113"
"2022 14,086,869",nan,"25,000 –","14,111,869"
From the total liabilities from BMW Group Companies,range for the liability due to BMW Group companies,nan,nan
100% have a fixed interest rate (2022: 100%). The,during the financial year 2023 are:,nan,nan
weighted average maturity period and the interest,nan,nan,nan
in euro thousand Outstanding,nan,Weighted average,Interest range
31.12.2023,nan,maturity period,(in %)
nan,nan,(in years),nan
"Liability due to Parent (BMW Holding B.V.) 14,755,000",nan,0.11,0.21-4.42
Liability due to affiliated companies,"520,432",0.12,3.59-4.16
Inhouse Bank BMW AG,"199,386",Daily,ESTER* + spread
Trade payables due to BMW Group companies,"9,904",30 days,none
Trade payables due to Parent (BMW Holding B.V.),"146,391",0,0
"Total 15,631,113",nan,nan,nan
*ESTER = Euro Short Term Rate (per 31-12-2023: 3.882% positive).,nan,nan,nan
For the liabilities these figures were during the finan-,nan,nan,nan
cial year 2022 as follows:,nan,nan,nan
in euro thousand Outstanding,nan,Weighted average,Interest range
31.12.2022,nan,maturity period,(in %)
nan,nan,(in years),nan
"Liability due to Parent (BMW Holding B.V.) 12,660,000",nan,0.08,0.07-2.38
"Liability due to affiliated companies 1,213,355",nan,0.20,-0.05-1.78
Inhouse Bank BMW AG,"94,699",Daily,ESTER* + spread
Trade payables due to BMW Group companies,"143,815",30 days,none
"Total 14,111,869",nan,nan,nan
